Model,Utility_MSE_Rec,Utility_Accuracy,Fairness_Latent_Shift,Fairness_Metric_Error,Fairness_Curv_Error
Baseline,0.07023727148771286,1.0,0.3632431924343109,16.38729476928711,4.316877841949463
CMF,0.7543876767158508,0.9950000047683716,0.8478543758392334,0.017532678321003914,0.045870084315538406
